"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows"
"23",FALSE,"Home Systems","Central Air Conditioning Installation or Replacement",FALSE,"Mid","HVAC Specialist","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"24",FALSE,"Home Systems","Heating System Repair or Maintenance",FALSE,"Low","HVAC Specialist","Low",TRUE,NA,NA,NA,TRUE,3,5,384.571428571429,TRUE,37,4.81,481.714285714286,TRUE,NA,NA,NA,NA,TRUE,2,3,NA,134,142,FALSE,NA
"25",FALSE,"Home Maintenance","Weeding",FALSE,"Mid","Landscaper","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,20.2857142857143,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"26",FALSE,"Home Maintenance","Weeding",TRUE,"Mid","Landscaper","Low",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,16.1428571428571,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"27",FALSE,"Home Construction","Window Installation",FALSE,"Mid","Handyman","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,127,127,FALSE,NA
"28",FALSE,"Home Maintenance","Junk Removal",TRUE,"High","Mover","High",TRUE,29,4.9,12,FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,19.5714285714286,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"29",FALSE,"Home Maintenance","House Cleaning",TRUE,"Mid","Cleaner","Mid",TRUE,3,4.7,48,FALSE,NA,NA,NA,TRUE,9,4.9,55.2857142857143,FALSE,NA,NA,NA,NA,TRUE,1,5,68.5714285714286,64,66,FALSE,NA
"30",FALSE,"Home Maintenance","Gutter Cleaning and Maintenance",TRUE,"High","Cleaner","High",TRUE,1,5,96,FALSE,NA,NA,NA,TRUE,19,4.5,47.2857142857143,TRUE,1,1,47.2857142857143,NA,TRUE,NA,NA,NA,1,4,FALSE,NA
"31",FALSE,"Home Construction","Architectural Services",TRUE,"High","Engineer and Technical Designer","Low",TRUE,1,5,192,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,232.428571428571,1,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"32",TRUE,"Home Construction","Countertop Installation",FALSE,"Mid","Floor, Carpet, and Tile Specialist","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,9,4.9,17.8571428571429,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,119,NA,FALSE,NA
