"","Id","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","IG_P","IG_Follows","category_G","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"21","00Q3q00001aNbOwEAK","FALSE","Home Maintenance","Outdoor Landscaping and Design",0,2,"Landscaper",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,8,4.9,2.57142857142857,FALSE,0,0,0,0,TRUE,48,"Landscaper 1",8,4.9,2.57142857142857,1,8,4.9,2.57142857142857
"22","00Q3q00001aOlTuEAK","FALSE","Home Construction","Deck or Porch Remodel or Addition",0,2,"Carpenter",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,6,3.92,895.571428571429,FALSE,0,0,0,0,FALSE,0,"Carpenter",6,3.92,895.571428571429,2,3,1.96,447.785714285715
"23","00Q3q00001aOlmHEAS","FALSE","Home Systems","Central Air Conditioning Installation or Replacement",0,2,"HVAC Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"HVAC Specialist",0,0,0,1,0,0,0
"24","00Q3q00001aNwBMEA0","FALSE","Home Systems","Heating System Repair or Maintenance",0,1,"HVAC Specialist",1,TRUE,0,0,0,TRUE,3,5,384.571428571429,TRUE,37,4.81,481.714285714286,TRUE,0,0,0,0,FALSE,0,"HVAC Specialist",40,9.81,866.285714285715,4,10,2.4525,216.571428571429
"25","00Q3q00001aQ2mqEAC","FALSE","Home Maintenance","Weeding",0,2,"Landscaper",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,20.2857142857143,FALSE,0,0,0,0,FALSE,0,"Landscaper",1,5,20.2857142857143,1,1,5,20.2857142857143
"26","00Q3q00001aQ3JmEAK","FALSE","Home Maintenance","Weeding",1,2,"Landscaper",1,TRUE,0,0,0,FALSE,0,0,0,TRUE,1,5,16.1428571428571,FALSE,0,0,0,0,FALSE,0,"Landscaper",1,5,16.1428571428571,2,0.5,2.5,8.07142857142855
"27","00Q3q00001aOlfyEAC","FALSE","Home Construction","Window Installation",0,2,"Handyman",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,0,FALSE,0,0,0,0,FALSE,0,"Handyman/Electrician",1,5,0,1,1,5,0
"28","00Q3q00001aPdUeEAK","FALSE","Home Maintenance","Junk Removal",1,3,"Mover",3,TRUE,29,4.9,12,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,19.5714285714286,0,FALSE,0,"Mover",30,9.9,31.5714285714286,2,15,4.95,15.7857142857143
"29","00Q3q00001aOlg8EAC","FALSE","Home Maintenance","House Cleaning",1,2,"Cleaner",2,TRUE,3,4.7,48,FALSE,0,0,0,TRUE,9,4.9,55.2857142857143,FALSE,0,0,0,0,FALSE,0,"Cleaner",12,9.6,103.285714285714,2,6,4.8,51.6428571428572
"30","00Q3q00001aQ30aEAC","FALSE","Home Maintenance","Gutter Cleaning and Maintenance",1,3,"Cleaner",3,TRUE,1,5,96,FALSE,0,0,0,TRUE,19,4.5,47.2857142857143,TRUE,1,1,47.2857142857143,0,FALSE,0,"Cleaner",21,10.5,190.571428571429,3,7,3.5,63.5238095238095
"31","00Q3q00001YOcLeEAL","FALSE","Home Construction","Architectural Services",1,3,"Engineer and Technical Designer",1,TRUE,1,5,192,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,232.428571428571,1,FALSE,0,"Other",1,5,424.428571428571,3,0.333333333333333,1.66666666666667,141.47619047619
"32","00Q3q00001YOckUEAT","TRUE","Home Construction","Countertop Installation",0,2,"Floor, Carpet, and Tile Specialist",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,9,4.9,17.8571428571429,FALSE,0,0,0,0,FALSE,0,"Floor, Carpet, and Tile Specialist",9,4.9,17.8571428571429,1,9,4.9,17.8571428571429
"33","00Q3q00001aQ2vtEAC","FALSE","Home Systems","Heating System Repair or Maintenance",0,2,"HVAC Specialist",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"HVAC Specialist",0,0,0,1,0,0,0
"34","00Q3q00001aQ2teEAC","FALSE","Home Maintenance","Pest Control Services",1,3,"Pest Control Specialist",3,TRUE,71,4.9,2,FALSE,0,0,0,TRUE,20,5,6.57142857142857,TRUE,1,5,49.4285714285714,0,TRUE,0,"Pest Control Specialist",92,14.9,58,3,30.6666666666667,4.96666666666667,19.3333333333333
"35","00Q3q00001TxqHwEAJ","FALSE","Home Construction","Deck or Porch Remodel or Addition",0,3,"Carpenter",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,285,4.8,1.85714285714286,TRUE,10,3.5,147.285714285714,17,TRUE,78,"Carpenter",295,8.3,149.142857142857,3,98.3333333333333,2.76666666666667,49.7142857142856
"36","00Q3q00001aeR6oEAE","FALSE","Home Maintenance","House Cleaning",0,3,"Cleaner",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,3,4.8,263.714285714286,TRUE,0,0,0,0,FALSE,0,"Cleaner",3,4.8,263.714285714286,2,1.5,2.4,131.857142857143
"37","00Q3q00001aeQZNEA2","FALSE","Home Maintenance","Carpet Cleaning",1,3,"Cleaner",2,TRUE,11,5,4,FALSE,0,0,0,TRUE,0,0,0,TRUE,1,5,51.7142857142857,0,TRUE,144,"Cleaner",12,10,55.7142857142857,3,4,3.33333333333333,18.5714285714286
"38","00Q3q00001aeR5XEAU","FALSE","Home Maintenance","Pressure Washing",1,2,"Cleaner",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,TRUE,130,"Cleaner",0,0,0,1,0,0,0
"39","00Q3q00001aeQeLEAU","FALSE","Home Construction","Custom Cabinet Building",1,2,"Carpenter",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Carpenter",0,0,0,2,0,0,0
"40","00Q0Z00001OwSG2UAN","FALSE","Home Maintenance","Outdoor Landscaping and Design",0,2,"Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,11,5,27.4285714285714,FALSE,0,0,0,0,FALSE,0,"Landscaper 1",11,5,27.4285714285714,1,11,5,27.4285714285714
"41","00Q3q00001aeQNvEAM","TRUE","Home Maintenance","Outdoor Landscaping and Design",1,3,"Landscaper",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,2,5,35,TRUE,0,0,0,0,TRUE,16,"Landscaper 1",2,5,35,3,0.666666666666667,1.66666666666667,11.6666666666667
"42","00Q3q00001Zv8cVEAR","FALSE","Home Maintenance","Full Service Lawn Care",0,2,"Landscaper",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Landscaper",0,0,0,1,0,0,0
"43","00Q3q00001ZwkyPEAR","TRUE","Home Construction","Home Remodeling",0,2,"General Contractor",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,4.5,713.571428571429,FALSE,0,0,0,0,FALSE,0,"General Contractor",1,4.5,713.571428571429,1,1,4.5,713.571428571429
"44","00Q3q00001Zv83dEAB","FALSE","Home Systems","Electrical and Wiring Repair",1,3,"Electrician",2,TRUE,7,4.6,2,FALSE,0,0,0,TRUE,2,4.83,413.142857142857,TRUE,0,0,0,0,FALSE,0,"Handyman/Electrician",9,9.43,415.142857142857,3,3,3.14333333333333,138.380952380952
"45","00Q3q00001ZtIdTEAV","FALSE","Home Construction","Roof Installation or Replacement",0,2,"Roofer and Sider",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Roofer and Sider",0,0,0,1,0,0,0
"46","00Q3q00001Zv83VEAR","FALSE","Home Construction","Carpet Installation",1,1,"Floor, Carpet, and Tile Specialist",2,TRUE,10,5,12,TRUE,2,5,417.571428571429,TRUE,1,5,71.2857142857143,TRUE,2,3,83.4285714285714,6,TRUE,994,"Floor, Carpet, and Tile Specialist",15,18,584.285714285715,4,3.75,4.5,146.071428571429
"47","00Q3q00001ZJvbJEAT","FALSE","Home Construction","Architectural Services",0,3,"Engineer and Technical Designer",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,"Other",0,0,0,2,0,0,0
"48","00Q3q00001aNwCnEAK","FALSE","Home Maintenance","Junk Removal",1,2,"Mover",3,TRUE,1,5,2,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Mover",1,5,2,2,0.5,2.5,1
"49","00Q3q00001ZwkzDEAR","FALSE","Home Construction","General Contracting",0,3,"General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,9,4.89,519.142857142857,TRUE,0,0,0,0,FALSE,0,"General Contractor",9,4.89,519.142857142857,2,4.5,2.445,259.571428571428
"50","00Q3q00001ZwlEcEAJ","FALSE","Home Systems","Electrical and Wiring Repair",1,3,"Electrician",3,TRUE,4,5,36,FALSE,0,0,0,TRUE,91,4.8,99.7142857142857,TRUE,6,4.5,15,1,FALSE,0,"Handyman/Electrician",101,14.3,150.714285714286,3,33.6666666666667,4.76666666666667,50.2380952380952
