"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"97","FALSE","Home Maintenance","Tree Trimming and Removal",1,"Low","Landscaper",2,TRUE,97,5,4,TRUE,11,4.8,108.857142857143,TRUE,12,5,24.1428571428571,TRUE,4,4.5,86.5714285714286,1,TRUE,1,5,78.1428571428571,79,80,FALSE,0,125,24.3,301.714285714286,5,25,4.86,60.3428571428572
"98","FALSE","Home Maintenance","House Cleaning",0,"Mid","Cleaner",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,5,4.9,3.57142857142857,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,1210,5,4.9,3.57142857142857,1,5,4.9,3.57142857142857
"99","FALSE","Home Maintenance","Full Service Lawn Care",0,"Low","Landscaper",2,FALSE,0,0,0,TRUE,21,4.8,42.5714285714286,TRUE,37,4.8,3.14285714285714,TRUE,0,0,0,0,TRUE,2,5,126.571428571429,35,36,FALSE,0,60,14.6,172.285714285715,4,15,3.65,43.0714285714287
"100","FALSE","Home Construction","Drywall Repair and Texturing",0,"Mid","Drywall Specialist",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,9,4.72,765,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,9,4.72,765,1,9,4.72,765
"101","FALSE","Home Construction","Fence and Gate Repairs",0,"Mid","Landscaper",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,27,4.77,725.714285714286,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,27,4.77,725.714285714286,1,27,4.77,725.714285714286
"102","FALSE","Home Maintenance","Full Service Lawn Care",0,"Mid","Landscaper",1,TRUE,2,3,192,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,2,3,192,2,1,1.5,96
"103","FALSE","Home Construction","General Contracting",1,"Mid","General Contractor",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,5,4.8,10.5714285714286,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,5,4.8,10.5714285714286,1,5,4.8,10.5714285714286
"104","FALSE","Home Construction","Handyman",1,"High","Handyman",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,15,4.6,108,TRUE,1,2,63.7142857142857,0,TRUE,10,4.6,12.2857142857143,324,343,TRUE,242,26,11.2,184,3,8.66666666666667,3.73333333333333,61.3333333333333
"105","FALSE","Home Construction","General Contracting",1,"Mid","General Contractor",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"106","FALSE","Home Construction","Epoxy Floor Coating",1,"High","Floor, Carpet, and Tile Specialist",2,TRUE,17,4.9,2,FALSE,0,0,0,TRUE,5,4.9,16.8571428571429,TRUE,1,5,9.57142857142857,0,FALSE,0,0,0,783,867,TRUE,431,23,14.8,28.4285714285715,3,7.66666666666667,4.93333333333333,9.47619047619049
